Operating_Airline,Total_Landings,Total_Weight
"SkyWest Airlines",23346,1479589604
"Air Canada",2438,468154697
"Japan Airlines",242,133984000
"COPA Airlines, Inc.",589,86223500
"Hong Kong Airlines Limited",108,49277642
Finnair,63,26016725
"WOW Air",190,75393209
"United Airlines",47436,9475823019
"Southwest Airlines",11089,1450000000
"Singapore Airlines",455,228440394
"Delta Air Lines",9445,1641226507
"Compass Airlines",2665,200349370
Emirates,242,208605694
"American Airlines",8839,1543538119
"Air France",380,252012580
"Volaris Airlines",149,21692602
"Korean Air Lines",690,430190000
"Virgin Atlantic",523,241685380
"Frontier Airlines",659,96182246
"Sun Country Airlines",415,58667900
"Atlas Air, Inc",389,129716000
"China Southern",265,142811000
"Air Pacific Limited dba Fiji Airways",71,28214754
"Jazz Aviation",758,56925800
"Swissport USA",1,727500
"China Eastern",317,159586864
"Air New Zealand",238,128408000
"Qantas Airways",222,137243000
Aeromexico,711,102586900
TACA,413,61294236
"EVA Airways",658,364532000
"Turkish Airlines",242,134068000
"Lufthansa German Airlines",428,306719777
"Air India Limited",290,143796000
"China Airlines",462,275975854
"Icelandair EHF",70,22400000
"Cathay Pacific",672,353052329
"Aer Lingus",232,94068998
Iberia,68,26984576
"Thomas Cook Airlines",60,23893695
"Hawaiian Airlines",484,193875680
"Philippine Airlines",276,144256192
"Alaska Airlines",18549,2692819009
"Redding Aero Enterprises",152,1292000
"French Bee",113,51510400
"JetBlue Airways",4056,664982837
"XL Airways France",34,13598104
"KLM Royal Dutch Airlines",339,183047000
"Air China",242,166496000
"Horizon Air",922,69178643
"All Nippon Airways",242,134068000
"British Airways",484,348765635
"SAS Airlines",241,102012172
"WestJet Airlines",454,60201700
"Asiana Airlines",441,238639407
"Swiss International",214,118556000
"Federal Express",289,94214000
"Kalitta Air",19,12430000
"ABC Aerolineas S.A. de C.V. dba Interjet",173,24676315
"Nippon Cargo Airlines",78,58626000
"Total Airport Services",19,5377000
